         1205465 function calls (1205422 primitive calls) in 23.212 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        6    0.000    0.000    0.000    0.000 random.py:519(<listcomp>)
        6    0.000    0.000    0.000    0.000 _datasource.py:103(_load)
        4    0.000    0.000    0.001    0.000 parse.py:372(urlparse)
        6    0.000    0.000    0.033    0.005 context.py:65(Lock)
       19    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
       44    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1356(_path_importer_cache)
        7    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:721(spec_from_file_location)
        3    0.000    0.000    0.001    0.000 _datasource.py:303(_isurl)
       26    0.000    0.000    0.000    0.000 iostream.py:437(_is_master_process)
        6    0.000    0.000    0.000    0.000 weakref.py:106(remove)
        1    0.000    0.000    0.000    0.000 util.py:1(<module>)
       20    0.000    0.000    0.000    0.000 threading.py:264(__enter__)
        1    0.000    0.000    0.000    0.000 _util.py:241(_asarray_validated)
        6    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:670(_compile_bytecode)
        6    0.000    0.000    0.000    0.000 tempfile.py:292(__next__)
       18    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
        3    0.000    0.000    0.000    0.000 posixpath.py:337(normpath)
        1    0.000    0.000    0.013    0.013 pool.py:1(<module>)
       19    0.000    0.000    0.000    0.000 threading.py:276(_acquire_restore)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:100(acquire)
       16    0.000    0.000    0.000    0.000 process.py:189(name)
        1    0.000    0.000    0.000    0.000 pool.py:747(__init__)
    12/11    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:1053(_handle_fromlist)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:125(release)
       30    0.000    0.000    0.000    0.000 {built-in method builtins.next}
       36    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
        3    0.000    0.000    0.000    0.000 reduction.py:38(__init__)
       11    0.000    0.000    0.000    0.000 _weakrefset.py:39(_remove)
        6    0.000    0.000    0.000    0.000 random.py:506(choices)
       20    0.000    0.000    0.000    0.000 threading.py:267(__exit__)
       12    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
       16    0.000    0.000    0.000    0.000 process.py:94(<genexpr>)
      6/4    0.000    0.000    0.018    0.004 <frozen importlib._bootstrap_external>:877(exec_module)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:585(_classify_pyc)
        3    0.000    0.000    0.000    0.000 {method 'any' of 'numpy.generic' objects}
        3    0.000    0.000    0.035    0.012 context.py:110(SimpleQueue)
        6    0.000    0.000    0.000    0.000 tempfile.py:281(rng)
       22    0.000    0.000    0.000    0.000 {method 'release' of '_thread.lock' objects}
        1    0.000    0.000    0.656    0.656 context.py:115(Pool)
        6    0.000    0.000    0.000    0.000 util.py:171(register_after_fork)
        8    0.000    0.000    0.000    0.000 process.py:193(name)
       26    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:897(__exit__)
       26    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:893(__enter__)
       19    0.000    0.000    0.000    0.000 threading.py:279(_is_owned)
       42    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
        1    0.000    0.000    0.000    0.000 blas.py:325(_get_funcs)
       41    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
        1    0.000    0.000    0.000    0.000 {built-in method _imp.exec_dynamic}
        2    0.000    0.000    0.000    0.000 _datasource.py:417(_sanitize_relative_path)
       12    0.000    0.000    0.000    0.000 {built-in method numpy.asanyarray}
        4    0.000    0.000    0.000    0.000 numerictypes.py:356(issubdtype)
       32    0.000    0.000    0.000    0.000 process.py:99(_check_closed)
        6    0.000    0.000    0.000    0.000 weakref.py:165(__setitem__)
        5    0.000    0.000    0.140    0.028 <__array_function__ internals>:177(concatenate)
        1    0.000    0.000    0.000    0.000 _datasource.py:246(__init__)
        2    0.000    0.000    0.000    0.000 posixpath.py:71(join)
        6    0.000    0.000    0.000    0.000 connection.py:130(__del__)
       23    0.000    0.000    0.000    0.000 util.py:48(debug)
        2    0.000    0.000    0.000    0.000 fromnumeric.py:1394(resize)
        5    0.000    0.000    0.000    0.000 _datasource.py:130(keys)
        1    0.000    0.000    0.001    0.001 twodim_base.py:376(tri)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:71(__init__)
        8    0.000    0.000    0.000    0.000 util.py:461(close_fds)
       12    0.000    0.000    0.000    0.000 {built-in method builtins.max}
        1    0.000    0.000    0.000    0.000 queues.py:1(<module>)
       19    0.000    0.000    0.000    0.000 {method 'discard' of 'set' objects}
        6    0.000    0.000    0.001    0.000 synchronize.py:114(_make_name)
        8    0.000    0.000    0.000    0.000 parse.py:114(_coerce_args)
       31    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
       24    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
        1    0.000    0.000   23.212   23.212 <string>:1(<module>)
       36    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.lock' objects}
        7    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1531(_get_spec)
        3    0.000    0.000    0.000    0.000 posixpath.py:117(splitext)
        3    0.000    0.000    0.000    0.000 {built-in method posix.write}
        3    0.000    0.000    0.000    0.000 threading.py:1301(_make_invoke_excepthook)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:198(cb)
        7    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:510(_get_cached)
        1    0.000    0.000    0.869    0.869 basic.py:11(c2c)
       41    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:71(_relax_case)
        8    0.000    0.000    0.000    0.000 numerictypes.py:282(issubclass_)
        4    0.000    0.000    0.000    0.000 __init__.py:103(_xla_gc_callback)
        3    0.000    0.000    0.000    0.000 queues.py:369(put)
        1    0.000    0.000    0.001    0.001 _datasource.py:344(_findfile)
        1    0.000    0.000    0.000    0.000 synchronize.py:1(<module>)
        3    0.000    0.000    0.000    0.000 connection.py:181(send_bytes)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:169(__enter__)
       42    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
        3    0.000    0.000    0.033    0.011 queues.py:339(__init__)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:357(__init__)
        1    0.000    0.000    0.000    0.000 pool.py:796(__init__)
        1    0.000    0.000    0.000    0.000 _datasource.py:375(abspath)
        5    0.000    0.000    0.000    0.000 fromnumeric.py:51(_wrapfunc)
       13    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:391(cached)
        8    0.000    0.000    0.005    0.001 <frozen importlib._bootstrap_external>:1431(find_spec)
        1    0.000    0.000    0.000    0.000 posixpath.py:376(abspath)
        8    0.000    0.000    0.000    0.000 popen_fork.py:56(terminate)
        1    0.000    0.000    0.000    0.000 helper.py:80(_asfarray)
        3    0.000    0.000    0.000    0.000 reduction.py:48(dumps)
        3    0.000    0.000    0.000    0.000 _methods.py:54(_any)
       32    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
        3    0.000    0.000    0.000    0.000 _datasource.py:263(_iszip)
        1    0.000    0.000    0.000    0.000 least_squares.py:94(prepare_bounds)
        8    0.000    0.000    0.000    0.000 process.py:128(terminate)
       29    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.RLock' objects}
       48    0.000    0.000    0.000    0.000 {method 'random' of '_random.Random' objects}
        2    0.000    0.000    0.000    0.000 _datasource.py:294(_possible_names)
       13    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
        2    0.000    0.000    0.021    0.011 <__array_function__ internals>:177(trim_zeros)
        8    0.000    0.000    0.000    0.000 __init__.py:219(_acquireLock)
       48    0.000    0.000    0.000    0.000 {built-in method math.floor}
        1    0.000    0.000    0.000    0.000 pool.py:173(Pool)
        8    0.000    0.000    0.000    0.000 process.py:224(exitcode)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:618(_validate_timestamp_pyc)
       14    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
        2    0.000    0.000    0.000    0.000 {built-in method _bisect.bisect_left}
       20    0.000    0.000    0.000    0.000 {method '__enter__' of '_thread.lock' objects}
       26    0.000    0.000    0.000    0.000 {method 'write' of '_io.StringIO' objects}
      9/4    0.000    0.000    0.014    0.003 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
        1    0.000    0.000    0.027    0.027 pool.py:345(_setup_queues)
        3    0.000    0.000    0.020    0.007 <__array_function__ internals>:177(linspace)
        2    0.000    0.000    0.000    0.000 getlimits.py:672(max)
        1    0.000    0.000    0.000    0.000 {built-in method posix.cpu_count}
        1    0.000    0.000    0.869    0.869 _basic.py:12(fft)
        3    0.000    0.000    0.000    0.000 threading.py:782(_newname)
        2    0.000    0.000    0.000    0.000 {built-in method posix.getcwd}
        1    0.000    0.000    0.000    0.000 twodim_base.py:162(eye)
        3    0.000    0.000    0.000    0.000 genericpath.py:121(_splitext)
        7    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
        1    0.000    0.000    0.001    0.001 twodim_base.py:497(triu)
        5    0.000    0.000    0.000    0.000 {method 'reshape' of 'numpy.ndarray' objects}
        6    0.000    0.000    0.000    0.000 weakref.py:348(__new__)
        3    0.000    0.000    0.000    0.000 connection.py:516(Pipe)
        1    0.000    0.000    0.000    0.000 posixpath.py:60(isabs)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:826(find_spec)
        8    0.000    0.000    0.000    0.000 popen_fork.py:46(_send_signal)
        1    0.000    0.000    0.002    0.002 _datasource.py:487(open)
        3    0.000    0.000    0.000    0.000 threading.py:1028(_stop)
        3    0.000    0.000    0.000    0.000 connection.py:390(_send_bytes)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:542(_check_name_wrapper)
       18    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
        3    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(ndim)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:173(__exit__)
        1    0.000    0.000   14.506   14.506 pool.py:362(map)
        2    0.000    0.000    0.000    0.000 twodim_base.py:33(_min_int)
        1    0.000    0.000    0.000    0.000 shape_base.py:81(atleast_2d)
        6    0.000    0.000    0.000    0.000 weakref.py:353(__init__)
        4    0.000    0.000    0.001    0.000 <__array_function__ internals>:177(any)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1089(path_stats)
        6    0.000    0.000    0.031    0.005 synchronize.py:161(__init__)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(atleast_2d)
        1    0.000    0.000    0.000    0.000 weakref.py:105(__init__)
        1    0.000    0.000    0.000    0.000 blas.py:383(getter)
        2    0.000    0.000    0.000    0.000 fromnumeric.py:1755(ravel)
        6    0.000    0.000    0.000    0.000 connection.py:360(_close)
        1    0.000    0.000    0.000    0.000 blas.py:259(find_best_blas_type)
        1    0.000    0.000    0.000    0.000 connection.py:348(Connection)
        1    0.000    0.000    0.003    0.003 pool.py:671(_help_stuff_finish)
        1    0.000    0.000    0.002    0.002 _datasource.py:155(open)
        5    0.000    0.000    0.000    0.000 fromnumeric.py:70(<dictcomp>)
        1    0.000    0.000    0.000    0.000 type_check.py:303(iscomplexobj)
        1    0.000    0.000    0.000    0.000 lapack.py:870(get_lapack_funcs)
        1    0.000    0.000    0.000    0.000 npyio.py:1485(WriteWrap)
        1    0.000    0.000    0.000    0.000 lapack.py:1003(_check_work_float)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:165(__init__)
       11    0.000    0.000    0.000    0.000 {built-in method __new__ of type object at 0x7f894f22d9a0}
        7    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
        7    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:180(_path_isabs)
        1    0.000    0.000    0.002    0.002 _minpack_py.py:22(_check_func)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(iscomplexobj)
        4    0.000    0.000    0.000    0.000 {built-in method jaxlib.xla_extension.collect_garbage}
        2    0.000    0.000    0.000    0.000 shape_base.py:23(atleast_1d)
       18    0.000    0.000    0.000    0.000 {built-in method from_bytes}
        2    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(atleast_1d)
        2    0.000    0.000    0.000    0.000 fromnumeric.py:198(reshape)
        3    0.000    0.000    0.000    0.000 numeric.py:1873(isscalar)
        1    0.000    0.000    0.602    0.602 pool.py:305(_repopulate_pool)
        3    0.000    0.000    0.000    0.000 fromnumeric.py:3121(ndim)
        6    0.000    0.000    0.000    0.000 {built-in method _weakref._remove_dead_weakref}
        1    0.000    0.000    0.047    0.047 pool.py:654(terminate)
        6    0.000    0.000    0.000    0.000 threading.py:1183(daemon)
        3    0.000    0.000    0.000    0.000 {method 'dump' of '_pickle.Pickler' objects}
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
        3    0.000    0.000    0.000    0.000 threading.py:1064(join)
        1    0.000    0.000    0.000    0.000 fromnumeric.py:2162(sum)
        8    0.000    0.000    0.000    0.000 process.py:205(daemon)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:746(find_spec)
        3    0.000    0.000    0.000    0.000 threading.py:1198(daemon)
       11    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
        1    0.000    0.000    0.000    0.000 least_squares.py:95(<listcomp>)
        1    0.000    0.000    0.000    0.000 {function Random.seed at 0x7f894d7e1090}
        1    0.000    0.000    0.000    0.000 {built-in method _abc._abc_instancecheck}
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(sum)
        9    0.000    0.000    0.000    0.000 util.py:44(sub_debug)
        1    0.000    0.000    0.589    0.589 <__array_function__ internals>:177(savetxt)
        1    0.000    0.000    0.000    0.000 {method 'put' of '_queue.SimpleQueue' objects}
        3    0.000    0.000    0.000    0.000 connection.py:365(_send)
        1    0.000    0.000    0.000    0.000 abc.py:117(__instancecheck__)
        6    0.000    0.000    0.000    0.000 synchronize.py:90(_make_methods)
        3    0.000    0.000    0.000    0.000 {method 'all' of 'numpy.ndarray' objects}
        6    0.000    0.000    0.000    0.000 connection.py:117(__init__)
        3    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(result_type)
