         1237826 function calls (1236910 primitive calls) in 26.368 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      203    0.000    0.000    0.000    0.000 function_base.py:18(_linspace_dispatcher)
      105    0.000    0.000    0.000    0.000 {method 'acquire' of '_multiprocessing.SemLock' objects}
      104    0.000    0.000    0.000    0.000 threading.py:279(_is_owned)
      104    0.000    0.000    0.000    0.000 threading.py:273(_release_save)
      205    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
      204    0.000    0.000    0.000    0.000 fromnumeric.py:2302(_any_dispatcher)
      205    0.000    0.000    0.000    0.000 {built-in method _operator.index}
      105    0.000    0.000    0.000    0.000 {method 'acquire' of '_thread.RLock' objects}
      102    0.000    0.000    0.000    0.000 std.py:169(colour)
        1    0.000    0.000    0.045    0.045 _minpack_py.py:533(curve_fit)
      100    0.000    0.000    0.000    0.000 {built-in method builtins.all}
      200    0.000    0.000    0.000    0.000 {built-in method builtins.iter}
      102    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
      102    0.000    0.000    0.000    0.000 utils.py:57(__init__)
      203    0.000    0.000    0.000    0.000 multiarray.py:664(result_type)
      122    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.RLock' objects}
      122    0.000    0.000    0.000    0.000 {method 'write' of '_io.StringIO' objects}
      105    0.000    0.000    0.000    0.000 {method 'release' of '_multiprocessing.SemLock' objects}
      102    0.000    0.000    0.000    0.000 utils.py:61(__format__)
      104    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
      104    0.000    0.000    0.000    0.000 {method '__enter__' of '_thread.lock' objects}
      105    0.000    0.000    0.000    0.000 {method 'release' of '_thread.RLock' objects}
      104    0.000    0.000    0.000    0.000 {built-in method builtins.abs}
        1    0.000    0.000    0.044    0.044 _minpack_py.py:279(leastsq)
      100    0.000    0.000    0.000    0.000 numeric.py:72(_zeros_like_dispatcher)
       30    0.000    0.000    0.013    0.000 utils.py:55(<lambda>)
      102    0.000    0.000    0.000    0.000 std.py:165(colour)
      104    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.lock' objects}
      100    0.000    0.000    0.000    0.000 multiarray.py:1071(copyto)
      100    0.000    0.000    0.000    0.000 function_base.py:4841(_meshgrid_dispatcher)
      104    0.000    0.000    0.000    0.000 {method 'release' of '_thread.lock' objects}
      100    0.000    0.000    0.000    0.000 stride_tricks.py:476(_broadcast_arrays_dispatcher)
        1    0.000    0.000    0.004    0.004 std.py:846(__init__)
        3    0.000    0.000    0.000    0.000 {built-in method builtins.print}
        1    0.000    0.000   26.368   26.368 {built-in method builtins.exec}
        5    0.000    0.000    0.088    0.018 <__array_function__ internals>:177(concatenate)
        1    0.000    0.000    0.000    0.000 _basic.py:888(inv)
        2    0.000    0.000    0.004    0.002 std.py:1279(close)
        2    0.000    0.000    0.000    0.000 shape_base.py:23(atleast_1d)
        2    0.000    0.000    0.000    0.000 fromnumeric.py:1394(resize)
        1    0.000    0.000    0.000    0.000 std.py:560(__new__)
        1    0.000    0.000    0.001    0.001 _minpack_py.py:22(_check_func)
        5    0.000    0.000    0.000    0.000 fromnumeric.py:51(_wrapfunc)
        1    0.000    0.000    0.000    0.000 std.py:583(_decr_instances)
        1    0.000    0.000    0.000    0.000 {built-in method fcntl.ioctl}
        1    0.000    0.000    0.000    0.000 twodim_base.py:162(eye)
        1    0.000    0.000    0.000    0.000 utils.py:282(_screen_shape_linux)
        1    0.000    0.000    0.001    0.001 std.py:329(status_printer)
        1    0.000    0.000    0.328    0.328 basic.py:11(c2c)
        1    0.000    0.000    0.000    0.000 _util.py:241(_asarray_validated)
        4    0.000    0.000    0.000    0.000 std.py:112(__enter__)
        3    0.000    0.000    0.000    0.000 _weakrefset.py:63(__iter__)
        1    0.000    0.000    0.000    0.000 helper.py:80(_asfarray)
        1    0.000    0.000    0.000    0.000 {method 'outer' of 'numpy.ufunc' objects}
        1    0.000    0.000   26.368   26.368 <string>:1(<module>)
        2    0.000    0.000    0.000    0.000 {built-in method _bisect.bisect_left}
        1    0.000    0.000    0.000    0.000 getlimits.py:458(__new__)
        2    0.000    0.000    0.000    0.000 fromnumeric.py:1755(ravel)
        3    0.000    0.000    0.000    0.000 {method 'all' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.000    0.000 std.py:576(_get_free_pos)
        1    0.000    0.000    0.000    0.000 utils.py:162(__init__)
        2    0.000    0.000    0.000    0.000 _weakrefset.py:27(__exit__)
        2    0.000    0.000    0.000    0.000 std.py:1300(fp_write)
        2    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(atleast_1d)
        2    0.000    0.000    0.000    0.000 _weakrefset.py:53(_commit_removals)
        1    0.000    0.000    0.000    0.000 twodim_base.py:376(tri)
        4    0.000    0.000    0.000    0.000 std.py:115(__exit__)
        1    0.000    0.000    0.000    0.000 least_squares.py:94(prepare_bounds)
        3    0.000    0.000    0.000    0.000 _methods.py:60(_all)
        1    0.000    0.000    0.000    0.000 twodim_base.py:497(triu)
        3    0.000    0.000    0.000    0.000 {method 'remove' of 'set' objects}
        1    0.000    0.000    0.000    0.000 lapack.py:968(_compute_lwork)
        6    0.000    0.000    0.000    0.000 {built-in method numpy.asarray}
        2    0.000    0.000    0.002    0.001 <__array_function__ internals>:177(trim_zeros)
        1    0.000    0.000    0.328    0.328 _basic.py:12(fft)
        2    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(resize)
        1    0.000    0.000    0.000    0.000 fromnumeric.py:2162(sum)
        2    0.000    0.000    0.000    0.000 twodim_base.py:33(_min_int)
        2    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(reshape)
        2    0.000    0.000    0.000    0.000 _weakrefset.py:21(__enter__)
        2    0.000    0.000    0.000    0.000 std.py:1167(_comparable)
        2    0.000    0.000    0.000    0.000 fromnumeric.py:198(reshape)
        1    0.000    0.000    0.000    0.000 lapack.py:1003(_check_work_float)
        3    0.000    0.000    0.000    0.000 utils.py:101(wrapper_setattr)
        2    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(ravel)
        1    0.000    0.000    0.000    0.000 least_squares.py:95(<listcomp>)
        1    0.000    0.000    0.000    0.000 {method 'take' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.000    0.000 {built-in method numpy.empty}
        2    0.000    0.000    0.000    0.000 utils.py:136(disable_on_exception)
        5    0.000    0.000    0.000    0.000 multiarray.py:148(concatenate)
        1    0.000    0.000    0.000    0.000 _weakrefset.py:86(add)
        1    0.000    0.000    0.000    0.000 {method 'flatten' of 'numpy.ndarray' objects}
        2    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(dot)
        1    0.000    0.000    0.000    0.000 _weakrefset.py:111(remove)
        1    0.000    0.000    0.000    0.000 blas.py:383(getter)
        2    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(transpose)
        3    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
        2    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
        2    0.000    0.000    0.000    0.000 std.py:1171(__hash__)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1053(_handle_fromlist)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(shape)
        1    0.000    0.000    0.004    0.004 std.py:1152(__exit__)
        1    0.000    0.000    0.000    0.000 utils.py:74(__eq__)
        1    0.000    0.000    0.000    0.000 utils.py:215(_supports_unicode)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(take)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(sum)
        2    0.000    0.000    0.000    0.000 _weakrefset.py:17(__init__)
        1    0.000    0.000    0.000    0.000 utils.py:201(_is_utf)
        2    0.000    0.000    0.000    0.000 {method 'ravel' of 'numpy.ndarray' objects}
        3    0.000    0.000    0.000    0.000 std.py:228(__init__)
        1    0.000    0.000    0.000    0.000 fromnumeric.py:93(take)
        2    0.000    0.000    0.000    0.000 utils.py:171(__eq__)
        2    0.000    0.000    0.000    0.000 fromnumeric.py:601(transpose)
        2    0.000    0.000    0.000    0.000 utils.py:88(__getattr__)
        2    0.000    0.000    0.000    0.000 getlimits.py:672(max)
        2    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
        1    0.000    0.000    0.000    0.000 std.py:579(<setcomp>)
        1    0.000    0.000    0.000    0.000 utils.py:105(__init__)
        1    0.000    0.000    0.000    0.000 fromnumeric.py:1965(shape)
        1    0.000    0.000    0.000    0.000 std.py:657(get_lock)
        2    0.000    0.000    0.000    0.000 getlimits.py:659(min)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(where)
        1    0.000    0.000    0.000    0.000 helper.py:161(_workers)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(triu)
        1    0.000    0.000    0.000    0.000 _minpack_py.py:482(_wrap_func)
        2    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
        1    0.000    0.000    0.000    0.000 _monitor.py:94(report)
        2    0.000    0.000    0.000    0.000 {method 'transpose' of 'numpy.ndarray' objects}
        2    0.000    0.000    0.000    0.000 {built-in method builtins.id}
        1    0.000    0.000    0.000    0.000 {built-in method utcfromtimestamp}
        1    0.000    0.000    0.000    0.000 core.py:6425(isMaskedArray)
        2    0.000    0.000    0.000    0.000 function_base.py:1795(_trim_zeros)
        1    0.000    0.000    0.000    0.000 iostream.py:304(fileno)
        1    0.000    0.000    0.000    0.000 {method 'newbyteorder' of 'numpy.dtype' objects}
        1    0.000    0.000    0.000    0.000 _base.py:1301(isspmatrix)
        1    0.000    0.000    0.000    0.000 std.py:1161(__del__)
        2    0.000    0.000    0.000    0.000 {method 'upper' of 'str' objects}
        2    0.000    0.000    0.000    0.000 shape_base.py:19(_atleast_1d_dispatcher)
        2    0.000    0.000    0.000    0.000 fromnumeric.py:1390(_resize_dispatcher)
        1    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
        2    0.000    0.000    0.000    0.000 {built-in method _weakref.proxy}
        2    0.000    0.000    0.000    0.000 fromnumeric.py:193(_reshape_dispatcher)
        2    0.000    0.000    0.000    0.000 fromnumeric.py:597(_transpose_dispatcher)
        2    0.000    0.000    0.000    0.000 fromnumeric.py:1751(_ravel_dispatcher)
        1    0.000    0.000    0.000    0.000 {built-in method builtins.min}
        1    0.000    0.000    0.000    0.000 {built-in method builtins.callable}
        1    0.000    0.000    0.000    0.000 {method 'difference' of 'set' objects}
        1    0.000    0.000    0.000    0.000 helper.py:150(_normalization)
        1    0.000    0.000    0.000    0.000 utils.py:231(_screen_shape_wrapper)
        2    0.000    0.000    0.000    0.000 multiarray.py:736(dot)
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        1    0.000    0.000    0.000    0.000 fromnumeric.py:1961(_shape_dispatcher)
        1    0.000    0.000    0.000    0.000 {built-in method __new__ of type object at 0x7f2a4cf209a0}
        1    0.000    0.000    0.000    0.000 _misc.py:180(_datacopied)
        1    0.000    0.000    0.000    0.000 fromnumeric.py:2157(_sum_dispatcher)
        1    0.000    0.000    0.000    0.000 std.py:1315(<lambda>)
        1    0.000    0.000    0.000    0.000 helper.py:100(_datacopied)
        1    0.000    0.000    0.000    0.000 fromnumeric.py:89(_take_dispatcher)
        1    0.000    0.000    0.000    0.000 multiarray.py:341(where)
        1    0.000    0.000    0.000    0.000 twodim_base.py:438(_trilu_dispatcher)
        1    0.000    0.000    0.000    0.000 std.py:1149(__enter__)
