         3132994 function calls (3026944 primitive calls) in 45.850 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     2609    0.006    0.000    0.010    0.000 __init__.py:1455(debug)
     5100    0.006    0.000    0.006    0.000 {method 'lower' of 'str' objects}
      117    0.006    0.000    0.010    0.000 analysis.py:190(compute_live_variables)
      663    0.006    0.000    0.047    0.000 cpu_options.py:122(encode)
       13    0.006    0.000    0.031    0.002 interpreter.py:1005(peep_hole_fuse_dict_add_updates)
     38/2    0.006    0.000    4.870    2.435 lowering.py:255(lower_block)
      238    0.006    0.000    0.025    0.000 npydecl.py:26(_handle_inputs)
      113    0.006    0.000    0.054    0.000 values.py:933(__init__)
 1506/930    0.006    0.000    0.007    0.000 packer.py:144(rec)
     1800    0.006    0.000    0.010    0.000 context.py:455(_lookup_global)
     3642    0.006    0.000    0.006    0.000 {method 'release' of '_thread.RLock' objects}
      124    0.006    0.000    0.037    0.000 packer.py:73(__init__)
      100    0.006    0.000    1.782    0.018 histogram.py:17(histogram1d)
      853    0.006    0.000    0.010    0.000 values.py:871(__iter__)
      147    0.006    0.000    0.007    0.000 module.py:21(_fix_metadata_operands)
      444    0.006    0.000    0.035    0.000 builder.py:756(load)
      385    0.006    0.000    0.026    0.000 context.py:287(find_matching_getattr_template)
      117    0.006    0.000    0.501    0.004 postproc.py:70(run)
     1003    0.006    0.000    0.007    0.000 values.py:575(function_type)
     4425    0.006    0.000    0.006    0.000 values.py:554(_get_name)
     1080    0.006    0.000    0.035    0.000 ffi.py:285(close)
      170    0.006    0.000    0.010    0.000 instructions.py:687(descr)
      635    0.006    0.000    0.006    0.000 enum.py:359(__call__)
     1794    0.005    0.000    0.006    0.000 utils.py:373(__setitem__)
     1016    0.005    0.000    0.029    0.000 ffi.py:328(__del__)
     3843    0.005    0.000    0.005    0.000 {method 'insert' of 'list' objects}
      764    0.005    0.000    0.007    0.000 extending.py:60(overload)
      277    0.005    0.000    0.024    0.000 builder.py:568(_icmp)
  975/150    0.005    0.000    8.958    0.060 compiler_machinery.py:272(check)
      761    0.005    0.000    0.100    0.000 module.py:220(__next__)
     2500    0.005    0.000    0.014    0.000 templates.py:361(<genexpr>)
       18    0.005    0.000    0.325    0.018 codegen.py:651(_optimize_functions)
     1191    0.005    0.000    0.023    0.000 functions.py:230(_unlit_non_poison)
      121    0.005    0.000    0.448    0.004 std.py:1212(update)
     3504    0.005    0.000    0.005    0.000 templates.py:50(args)
